id,name,description,department_id,priority_level,typical_resolution_days
1,Course Content Issues,Syllabus coverage and curriculum concerns,1,Medium,7
2,Teaching Quality,Faculty teaching methods and effectiveness,1,High,5
3,Assignment & Projects,Assignment deadlines and project guidance,1,Medium,3
4,Attendance Marking,Incorrect attendance or marking issues,1,Medium,2
5,Class Scheduling,Timetable conflicts and class timing issues,1,Medium,3
6,Lab Equipment Malfunction,Computer/equipment not working properly,16,High,2
7,Lab Software Issues,Software installation and licensing problems,16,High,1
8,Lab Access Problems,Lab booking and access card issues,16,Medium,2
9,Internet Connectivity,WiFi and network connection problems,16,High,1
10,Computer Hardware Issues,PC/laptop hardware problems in labs,16,High,2
11,Room Allocation,Hostel room assignment and transfer requests,7,High,5
12,Room Maintenance,Plumbing electrical and furniture issues,7,High,3
13,Hostel Security,Safety and security concerns in hostel,7,Critical,1
14,Hostel Cleanliness,Cleaning and hygiene issues,7,Medium,2
15,Hostel Rules & Regulations,Policy and rule-related concerns,7,Medium,5
16,Food Quality,Taste hygiene and nutritional concerns,8,Medium,1
17,Food Variety,Limited menu and dietary options,8,Low,3
18,Mess Timing,Meal timing and service hours,8,Medium,2
19,Mess Cleanliness,Kitchen and dining area hygiene,8,High,1
20,Food Allergies,Special dietary requirements not met,8,High,1
21,Book Availability,Required books not available,9,Medium,5
22,Library Timing,Extended hours and holiday access,9,Low,7
23,Reading Room Issues,Seating and study environment problems,9,Medium,3
24,Library Staff Behavior,Staff attitude and service issues,9,Medium,5
25,Digital Resources,Online database and e-book access,9,Medium,3
26,Exam Scheduling,Date clashes and timing issues,10,High,7
27,Exam Hall Conditions,Seating lighting and environment,10,Medium,3
28,Result Declaration,Delayed or incorrect results,10,High,10
29,Revaluation Process,Re-evaluation and answer sheet issues,10,Medium,14
30,Hall Ticket Issues,Admit card and registration problems,10,High,5
31,Fee Structure Clarity,Unclear fee breakdown and charges,11,Medium,5
32,Payment Gateway Issues,Online payment failures and receipts,11,High,2
33,Refund Delays,Fee refund processing delays,11,High,10
34,Scholarship Disbursement,Scholarship amount not received,11,High,14
35,Financial Aid Information,Lack of information about aid programs,11,Low,7
36,Company Visits,Insufficient company participation,12,Medium,30
37,Placement Training,Inadequate skill development programs,12,Medium,21
38,Interview Process,Unfair selection and interview issues,12,Medium,14
39,Job Notifications,Late or missed job opportunity alerts,12,Medium,7
40,Career Counseling,Lack of proper career guidance,12,Low,14
41,Sports Equipment,Damaged or insufficient sports gear,13,Medium,7
42,Ground Maintenance,Poor condition of sports facilities,13,Medium,10
43,Sports Event Organization,Issues with tournaments and events,13,Low,14
